id,package,NC,A,I,D
672,org.apache.hadoop.yarn.webapp.example,3,0.0,0.0,1.0
673,org.apache.hadoop.yarn.webapp.util,3,0.0,0.9433962264150944,0.05660377358490565
674,org.apache.hadoop.classification,2,0.0,0.9996125532739248,3.8744672607515795E-4
675,org.apache.hadoop.fi,2,0.0,0.0,1.0
676,org.apache.hadoop.filecache,2,0.0,0.5,0.5
677,org.apache.hadoop.fs.adl.common,2,0.0,0.8333333333333334,0.16666666666666663
678,org.apache.hadoop.fs.adl.oauth2,2,0.5,0.8,0.30000000000000004
679,org.apache.hadoop.fs.azurebfs.contracts.annotations,2,0.0,0.0,1.0
680,org.apache.hadoop.fs.azurebfs.contracts.diagnostics,2,0.5,0.7142857142857143,0.2142857142857144
681,org.apache.hadoop.fs.crypto,2,0.0,0.5,0.5
682,org.apache.hadoop.fs.s3a.yarn,2,0.0,0.0,1.0
683,org.apache.hadoop.fs.swift.hdfs2,2,0.0,0.0,1.0
684,org.apache.hadoop.fs.swift.scale,2,0.0,0.0,1.0
685,org.apache.hadoop.hdds.scm.cli,2,0.0,0.8333333333333334,0.16666666666666663
686,org.apache.hadoop.hdds.scm.container.closer,2,0.0,NaN,NaN
687,org.apache.hadoop.hdds.scm.events,2,0.0,0.9615384615384616,0.038461538461538436
688,org.apache.hadoop.hdds.scm.exceptions,2,0.0,1.0,0.0
689,org.apache.hadoop.hdfs.nfs.conf,2,0.0,0.9565217391304348,0.04347826086956519
690,org.apache.hadoop.hdfs.nfs.mount,2,0.0,0.6666666666666666,0.33333333333333337
691,org.apache.hadoop.hdfs.security,2,0.0,0.0,1.0
692,org.apache.hadoop.hdfs.server.common.blockaliasmap,2,0.5,0.875,0.375
693,org.apache.hadoop.hdfs.server.federation.utils,2,0.0,0.3333333333333333,0.6666666666666667
694,org.apache.hadoop.hdfs.server.namenode.top,2,0.0,0.75,0.25
695,org.apache.hadoop.hdfs.tools.federation,2,0.0,0.5,0.5
696,org.apache.hadoop.hdfs.tools.snapshot,2,0.0,0.5,0.5
697,org.apache.hadoop.http.lib,2,0.0,0.6666666666666666,0.33333333333333337
698,org.apache.hadoop.lib.service.hadoop,2,0.0,0.0,1.0
699,org.apache.hadoop.lib.service.instrumentation,2,0.0,0.5,0.5
700,org.apache.hadoop.lib.service.scheduler,2,0.0,0.5,0.5
701,org.apache.hadoop.mapred.nativetask.compresstest,2,0.0,0.0,1.0
702,org.apache.hadoop.mapred.nativetask.nonsorttest,2,0.0,0.0,1.0
703,org.apache.hadoop.mapreduce.tools,2,0.0,0.6,0.4
704,org.apache.hadoop.mapreduce.v2.hs.protocolPB,2,0.0,0.5,0.5
705,org.apache.hadoop.mapreduce.v2.hs.server,2,0.0,0.3333333333333333,0.6666666666666667
706,org.apache.hadoop.maven.plugin.cmakebuilder,2,0.0,0.0,1.0
707,org.apache.hadoop.maven.plugin.shade.resource,2,0.0,0.0,1.0
708,org.apache.hadoop.maven.plugin.util,2,0.0,0.6666666666666666,0.33333333333333337
709,org.apache.hadoop.ozone.client.protocol,2,0.5,0.9444444444444444,0.4444444444444444
710,org.apache.hadoop.ozone.container,2,0.0,0.8947368421052632,0.10526315789473684
711,org.apache.hadoop.ozone.container.common.states,2,0.5,1.0,0.5
712,org.apache.hadoop.ozone.container.keyvalue.statemachine.background,2,0.0,0.0,1.0
713,org.apache.hadoop.ozone.om.exceptions,2,0.0,1.0,0.0
714,org.apache.hadoop.ozone.om.protocol,2,0.5,0.75,0.25
715,org.apache.hadoop.ozone.scm.cli,2,0.0,0.6666666666666666,0.33333333333333337
716,org.apache.hadoop.ozone.web.exceptions,2,0.0,0.9090909090909091,0.09090909090909094
717,org.apache.hadoop.ozone.web.request,2,0.0,0.875,0.125
718,org.apache.hadoop.ozone.web.storage,2,0.0,0.3333333333333333,0.6666666666666667
719,org.apache.hadoop.ozone.web.userauth,2,0.0,0.5,0.5
720,org.apache.hadoop.registry.cli,2,0.0,0.0,1.0
721,org.apache.hadoop.registry.client.types.yarn,2,0.5,0.9230769230769231,0.42307692307692313
722,org.apache.hadoop.registry.conf,2,0.0,0.8,0.19999999999999996
723,org.apache.hadoop.registry.server.integration,2,0.0,0.5,0.5
724,org.apache.hadoop.resourceestimator.common.exception,2,0.0,1.0,0.0
725,org.apache.hadoop.resourceestimator.skylinestore.validator,2,0.0,0.5,0.5
726,org.apache.hadoop.resourceestimator.solver.api,2,0.5,0.8333333333333334,0.3333333333333335
727,org.apache.hadoop.resourceestimator.solver.preprocess,2,0.0,0.5,0.5
728,org.apache.hadoop.resourceestimator.translator.exceptions,2,0.0,1.0,0.0
729,org.apache.hadoop.resourceestimator.translator.validator,2,0.0,0.5,0.5
730,org.apache.hadoop.tools.contract,2,0.5,0.7777777777777778,0.2777777777777777
731,org.apache.hadoop.yarn.api.records.impl,2,0.0,0.6,0.4
732,org.apache.hadoop.yarn.applications.unmanagedamlauncher,2,0.0,0.0,1.0
733,org.apache.hadoop.yarn.csi.utils,2,0.0,1.0,0.0
